parameter_name,Cornea
pvalue,0.2891332
parameter_id,IMPC_EYE_007_001
mouse_life_stage,Middle aged adult
gene_symbol,Secisbp2l
analysis_id,r795d9e555ne73m
mouse_strain,C57BL
gene_accession_id,MGI:1917604
