parameter_name,Vibrissae - presence
mouse_life_stage,Early adult
pvalue,0.1437687
parameter_id,JAXLA_CSD_023_001
gene_accession_id,MGI:1915524
analysis_id,2wt58204cyu2x1s
gene_symbol,TOPORSL
mouse_strain,C57BL
