gene_symbol,Etfdh
mouse_strain,C57BL
pvalue,0.6001179
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of Treg
gene_accession_id,MGI:106100
parameter_id,MGP_MLN_010_001
analysis_id,201f5g2o4ld29od
