parameter_name,Percent time in light
mouse_strain,C57BL
pvalue,0.6102796
parameter_id,JAX_LDT_009_001
analysis_id,9oo5jm2j299g4b2
gene_accession_id,MGI:2385156
mouse_life_stage,Early adult
gene_symbol,Sdcbp2
