gene_symbol,Ssr2
parameter_id,IMPC_GRS_009_001
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength measurement mean
analysis_id,7v63670622cd612
mouse_strain,C57BL
pvalue,0.331259
