gene_symbol,Sgip1
parameter_id,IMPC_IPG_011_001
parameter_name,Initial response to glucose challenge
pvalue,0.2033965
gene_accession_id,MGI:1920344
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,gi386m2cv1c95ml
