parameter_name,End-Systolic Diameter
analysis_id,756nf5b6wesh255
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_001_001
gene_accession_id,MGI:104640
pvalue,0.6179421
gene_symbol,Rab17
