analysis_id,l9444c87kky7y6l
parameter_id,IMPC_CSD_028_001
parameter_name,Snout size
gene_accession_id,MGI:1921688
mouse_strain,C57BL
gene_symbol,Clvs1
pvalue,0.1465832
mouse_life_stage,Early adult
