analysis_id,h35svcupbki9704
mouse_strain,C57BL
gene_symbol,Mapkap1
parameter_name,PQ
gene_accession_id,MGI:2444554
pvalue,0.4734476
mouse_life_stage,E12.5
parameter_id,IMPC_ECG_005_001
