analysis_id,724y45562j114d8
parameter_id,MGP_CSD_064_001
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sfpq
pvalue,0.3141666
parameter_name,Head morphology
