parameter_id,MGP_MLN_074_001
parameter_name,Effector CD8+ T cells - % of CD45+
analysis_id,d01042xie720oo4
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
gene_symbol,Col6a3
mouse_strain,C57BL
pvalue,0.1951349
