parameter_name,MZB (CD21/35 high)
gene_accession_id,MGI:2685277
mouse_strain,C57BL
analysis_id,jw0e0c431o1q8r7
mouse_life_stage,Early adult
pvalue,0.67057
gene_symbol,Zyg11b
parameter_id,IMPC_IMM_071_001
