gene_symbol,Wars2
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,7h39t5p09hpq3jj
pvalue,0.8860964
gene_accession_id,MGI:1917810
parameter_id,IMPC_GEP_084_001
parameter_name,Limb morphology
