parameter_name,Magnesium
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,M-G-P_025_001_030
gene_accession_id,MGI:1917810
pvalue,0.5899791
gene_symbol,Wars2
analysis_id,rtr8har6xd2g998
