parameter_name,Percent time in dark
mouse_strain,C58BL
gene_symbol,Stk35
gene_accession_id,MGI:1914583
parameter_id,JAX_LDT_008_001
pvalue,0.08523172
mouse_life_stage,Early adult
analysis_id,omq7cga9nlt0108
