gene_symbol,Rab22a
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8831476
parameter_id,MGP_PBI_014_001
analysis_id,4a0y20415fa9qcs
parameter_name,B cell percentage
