analysis_id,01374cd95745q2v
gene_symbol,Nemp2
mouse_strain,C57BL
pvalue,0.08221807
parameter_id,IMPC_HEM_039_001
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
parameter_name,Large Unstained Cell (LUC) count
