parameter_name,Total cholesterol
mouse_life_stage,Early adult
gene_symbol,Dcaf12
analysis_id,0e0110or5sw3ej9
mouse_strain,C57BL
parameter_id,JAXLA_CBC_015_001
pvalue,0.9119842
gene_accession_id,MGI:1916220
