gene_symbol,Bdh2
parameter_id,IMPC_IMM_046_001
pvalue,0.8445926
mouse_strain,C57BL
parameter_name,DN CD44+CD62L- NKT cells
analysis_id,807eqo0a51f6m59
mouse_life_stage,Early adult
gene_accession_id,MGI:1917022
