parameter_id,MGP_BMI_019_001
mouse_strain,C57BL
pvalue,0.6450936
gene_symbol,Pum1
analysis_id,9d9xa12i0052l83
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
parameter_name,T cells - % of CD45+
