analysis_id,z17i56j0z743w8g
parameter_id,HMGULA_CBC_015_001
mouse_life_stage,Early adult
pvalue,0.4646286
mouse_strain,C57BL
parameter_name,Total cholesterol
gene_accession_id,MGI:1914050
gene_symbol,Trp53rkb
