parameter_id,IMPC_EYE_024_001
analysis_id,3m48i275rf84779
parameter_name,Retinal Blood Vessels
mouse_life_stage,Early adult
gene_symbol,Traf6
pvalue,0.5542103
mouse_strain,C57BL
gene_accession_id,MGI:108072
