parameter_name,Lean/Body weight
parameter_id,ESLIM_005_001_702
analysis_id,e4b37974v244t10
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
gene_symbol,Zfp683
pvalue,0.5328332
