analysis_id,m3sdw57fso7y872
parameter_name,CD11b-high cDC - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ap5s1
parameter_id,MGP_IMM_129_001
gene_accession_id,MGI:1916846
pvalue,0.9434298
