analysis_id,n282014018mb409
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_010
pvalue,0.8586116
mouse_strain,C57BL
gene_symbol,Gja10
parameter_name,center - distance
gene_accession_id,MGI:1339969
