gene_symbol,Pum1
pvalue,0.6993335
analysis_id,2v573fox883yo7t
parameter_id,MGP_IMM_014_001
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD8+
gene_accession_id,MGI:1931749
mouse_strain,C57BL
