parameter_id,JAX_LDT_004_001
mouse_strain,C57BL
parameter_name,Dark side time spent
pvalue,0.8333367
gene_symbol,Dnaaf9
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
analysis_id,6pb94yp60782027
