analysis_id,nr4c3o49o55440v
gene_symbol,Lpgat1
parameter_id,IMPC_CBC_005_001
parameter_name,Creatinine
pvalue,0.8631285
mouse_life_stage,Early adult
mouse_strain,C58BL
gene_accession_id,MGI:2446186
