analysis_id,wobns009bjy1kjs
parameter_name,Neural tube closure
parameter_id,IMPC_GEL_027_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914561
pvalue,0.2715029
mouse_strain,C57BL
gene_symbol,Nanp
