analysis_id,05nlq1f950o691r
parameter_name,30kHz-evoked ABR Threshold
pvalue,0.2586939
parameter_id,IMPC_ABR_012_001
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_strain,C57BL
