parameter_id,JAX_OFD_022_001
gene_symbol,Morn5
analysis_id,l4wck4p055xlw79
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
parameter_name,Percentage center time
pvalue,0.3958656
mouse_strain,C57BL
