parameter_id,IMPC_GEP_083_001
mouse_strain,C57BL
gene_accession_id,MGI:3026886
parameter_name,Tongue out
gene_symbol,Cdin1
mouse_life_stage,E9.5
analysis_id,j848pim77wn13ji
pvalue,0.5126815
