parameter_name,Mean-cell-volume
mouse_strain,C57BL
pvalue,0.2038835
mouse_life_stage,Early adult
analysis_id,3sxv31595a0e96t
gene_accession_id,MGI:104848
gene_symbol,Inpp1
parameter_id,M-G-P_016_001_005
