gene_symbol,Ufc1
gene_accession_id,MGI:1913405
parameter_id,IMPC_GEL_011_001
parameter_name,Embryo turning
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6626976
analysis_id,9ojq68ba80z4u3g
