analysis_id,7by64fe4mr0g7yt
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
mouse_strain,C57BL
gene_accession_id,MGI:1336200
mouse_life_stage,Early adult
pvalue,0.9169439
gene_symbol,Hpca
parameter_id,IMPC_FEA_106_001
