parameter_name,Periphery - Permanence Time
pvalue,0.7337664
parameter_id,M-G-P_007_001_008
gene_symbol,Frmpd1
mouse_strain,C57BL
analysis_id,ix704f9vqyg330e
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
