parameter_name,BMC/Body weight
analysis_id,y579o70etcosa1d
parameter_id,HRWLLA_DXA_007_001
gene_symbol,Car13
pvalue,0.670059
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1931322
