analysis_id,er7c82n7425b4aj
parameter_name,Effector Treg cells - % of Treg
pvalue,0.8307182
mouse_life_stage,Early adult
gene_symbol,Psd4
mouse_strain,C57BL
parameter_id,MGP_MLN_009_001
gene_accession_id,MGI:2674093
