gene_symbol,Rnf114
parameter_name,Latency to center entry
parameter_id,IMPC_OFD_018_001
analysis_id,w2y417zt9q5j887
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1037172
gene_accession_id,MGI:1933159
