gene_symbol,Trim46
pvalue,0.1623384
parameter_id,IMPC_EYE_059_001
gene_accession_id,MGI:2673000
mouse_strain,C57BL
parameter_name,Mean right eye lens density
mouse_life_stage,Early adult
analysis_id,56kc21t3gwx9510
