parameter_name,Center average speed
mouse_strain,C57BL
gene_symbol,Ints7
analysis_id,3k6tsh8rg927lht
parameter_id,JAX_OFD_017_001
mouse_life_stage,E9.5
pvalue,0.8265731
gene_accession_id,MGI:1924315
