gene_symbol,Gfi1b
parameter_id,M-G-P_005_001_001
parameter_name,Weight
pvalue,0.5276993
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,k6919j22ltx2z6d
gene_accession_id,MGI:1276578
