parameter_name,Neural tube morphology
analysis_id,7quo20s6q6bo2a8
mouse_strain,C57BL
pvalue,0.8417581
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_060_001
gene_symbol,Npbwr1
