parameter_name,Corneal vascularization
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_009_001
pvalue,0.8831591
analysis_id,45dd63w1080x209
mouse_strain,C57BL
gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
