parameter_id,IMPC_GEL_033_001
mouse_strain,C57BL
pvalue,0.09087736
mouse_life_stage,E15.5
parameter_name,Tail bud morphology
gene_accession_id,MGI:99501
analysis_id,y877af34c11hpu2
gene_symbol,Fgb
