analysis_id,y28jwrz0886hm2i
parameter_name,cDCs CD11b Type
gene_symbol,Pglyrp3
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:2685266
mouse_strain,C57BL
pvalue,0.8382366
mouse_life_stage,Early adult
