analysis_id,81jn17441353tm6
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
pvalue,1.153859
parameter_name,Time mobile dark side
mouse_strain,C57BL
gene_symbol,Tnni1
parameter_id,JAX_LDT_005_001
