parameter_name,Cornea vascularisation
gene_symbol,Gja10
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1339969
analysis_id,32g7eumsa4m3l88
parameter_id,ESLIM_014_001_008
pvalue,0.8016189
