analysis_id,r4l40s28zk1x2v5
gene_symbol,Bach2
pvalue,0.3423414
gene_accession_id,MGI:894679
parameter_id,JAXLA_CSD_007_001
mouse_strain,C57BL
parameter_name,Coat - color - abdomen
mouse_life_stage,Early adult
