analysis_id,48l79p03patz16q
gene_accession_id,MGI:1931322
mouse_strain,C57BL
parameter_id,IMPC_GEP_076_001
mouse_life_stage,Early adult
pvalue,0.9154627
gene_symbol,Car13
parameter_name,Cleft palate
