parameter_name,QT
gene_accession_id,MGI:88479
pvalue,0.9619029
gene_symbol,Cpa3
mouse_life_stage,Early adult
analysis_id,e57o727u52022o4
parameter_id,IMPC_ECG_028_001
mouse_strain,C57BL
