parameter_name,Haemoglobin
pvalue,0.9579354
parameter_id,ESLIM_016_001_003
mouse_life_stage,E9.5
analysis_id,ma0es831879337n
gene_accession_id,MGI:97838
mouse_strain,C57BL
gene_symbol,Eprs1
