parameter_name,Periphery resting time
pvalue,0.3153753
parameter_id,IMPC_OFD_011_001
mouse_life_stage,Early adult
analysis_id,1m3myu0seeo04g2
gene_accession_id,MGI:2684980
mouse_strain,129SV
gene_symbol,Mms22l
