analysis_id,04x55lis1cc2kkr
gene_symbol,Psmd14
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
pvalue,0.5221969
mouse_life_stage,Early adult
parameter_id,MGP_IMM_017_001
mouse_strain,C57BL
gene_accession_id,MGI:1913284
