parameter_name,Fusion of vertebrae
parameter_id,M-G-P_006_001_026
gene_accession_id,MGI:1345282
mouse_life_stage,Middle aged adult
analysis_id,699lqkvf273fbx2
gene_symbol,Slc30a4
pvalue,0.5157934
mouse_strain,C57BL
