parameter_name,Periphery distance travelled
gene_symbol,Rnf114
pvalue,0.3430881
mouse_life_stage,Early adult
analysis_id,k91nc0512pdiv80
parameter_id,HRWLLA_OFD_010_001
mouse_strain,C57BL
gene_accession_id,MGI:1933159
