analysis_id,gtn4qq2p8033b00
gene_accession_id,MGI:2446186
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
parameter_id,JAXLA_GRS_011_001
mouse_life_stage,Middle aged adult
pvalue,0.3700659
gene_symbol,Lpgat1
