analysis_id,ibf6f03h4128ho5
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Zmynd19
parameter_id,MGP_MLN_021_001
gene_accession_id,MGI:1914437
parameter_name,KLRG1+ gd T cells - % of gd T cells
pvalue,0.5523835
