analysis_id,0tr7k8i357192dh
parameter_id,HRWLLA_CSD_008_001
parameter_name,Coat - color pattern - back
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.935481
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
