gene_symbol,Kif24
pvalue,0.4418432
gene_accession_id,MGI:1918345
mouse_strain,C57BL
parameter_name,CD8+ KLRG1+ alpha beta T cell number
analysis_id,71gjo5k610xxfy7
mouse_life_stage,Early adult
parameter_id,MGP_PBI_033_001
