gene_symbol,Abitram
parameter_name,Total ab T cells - % of CD45+
analysis_id,36br1nvox9o18x6
mouse_life_stage,Early adult
pvalue,0.6239778
mouse_strain,C56BL
gene_accession_id,MGI:2677850
parameter_id,MGP_MLN_063_001
