parameter_id,JAXLA_DXA_003_001
gene_symbol,Ntmt2
analysis_id,83gz8210feq7y70
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Lean mass
pvalue,0.5988033
gene_accession_id,MGI:2685053
