analysis_id,2o5506c4f618ve6
parameter_id,HMGULA_CBC_016_001
mouse_life_stage,Early adult
parameter_name,HDL-cholesterol
gene_symbol,Tnni1
mouse_strain,C55BL
gene_accession_id,MGI:105073
pvalue,0.6367512
