gene_symbol,Rab13
analysis_id,y60gw3dbd598diw
mouse_life_stage,Early adult
pvalue,0.9309458
parameter_name,Red blood cell distribution width
gene_accession_id,MGI:1927232
mouse_strain,C57BL
parameter_id,IMPC_HEM_027_001
